,Title,Category,Room Count,Floor,Area,Updated At,Price,Location
1313,BEYLİKDÜZÜ ARENA YAPI'DA 4+1 SATILIK DUBLEX,homeDaire,weekend2+1,layers5. Kat,texture120 m2,event19 Ağustos,5.100.000 TL,İstanbul - Beylikdüzü - Cumhuriyet Mh.
1314,"ARENA YAPI INNOVİA 1'DEN HAVUZ, DENİZ MANZARALI LÜX SATILIK DAİR",homeDaire,weekend2+1,layers3. Kat,texture120 m2,event19 Ağustos,4.500.000 TL,İstanbul - Esenyurt - Cumhuriyet Mh.
1315,BEYLİKDÜZÜ ARENA YAPI'DAN SİTE İÇİ 3+1 LÜX DAİRE!!!,homeDaire,weekend3+1,layers6. Kat,texture160 m2,event19 Ağustos,2.385.000 TL,İstanbul - Beylikdüzü - Cumhuriyet Mh.
1316,BAŞKENT YAPI'DAN METROBÜSE 14DK BÜYÜK M2 SATILIK 3+1 DAİRE,homeDaire,weekend2+1,layers1. Kat,texture140 m2,event19 Ağustos,2.495.000 TL,İstanbul - Esenyurt - Mehterçeşme Mh.
1317,"ARENA YAPI'DAN SİTE İÇİ, 1+1 ULTRA LÜX SATILIK DAİRE",homeDaire,weekend1+1,layers12. Kat,texture90 m2,event19 Ağustos,1.890.000 TL,İstanbul - Esenyurt - Akevler Mh.
1318,BEYLİKDÜZÜ ARENA'DAN BARIŞ MAHLLESİ ŞIK DEKORLU SİTE İÇİ 3+1 SAT,homeDaire,weekend3+1,layers8. Kat,texture180 m2,event19 Ağustos,3.700.000 TL,İstanbul - Beylikdüzü - Barış Mh.
1319,BAŞKENT YAPI'DAN METROBÜSE 4DK CADDE ÜZERİ SATILIK 2+1 DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture100 m2,event19 Ağustos,1.700.000 TL,İstanbul - Esenyurt - Turgut Özal Mh.
1320,Mertcan dan Fatih Mah Ara Katta 3+1 İskanlı Fırsat Satılık,homeDaire,weekend3+1,layers2. Kat,texture125 m2,event19 Ağustos,4.625.000 TL,İstanbul - Sancaktepe - Fatih Mh.
1321,BAŞKENT YAPI'DAN CADDE ÜZERİ METROBÜSE 10 DK ÇİFT BALKONLU 3+1,homeDaire,weekend3+1,layers4. Kat,texture150 m2,event19 Ağustos,2.650.000 TL,İstanbul - Esenyurt - Mehmet Akif Ersoy Mh.
1322,ESER YAPIDAN SATILIK3+1 120m2 EBEBEYN BANYOLU SIFIR ARAKAT DAİRE,homeDaire,weekend3+1,layers1. Kat,texture120 m2,event19 Ağustos,3.200.000 TL,İstanbul - Başakşehir - Güvercintepe Mh.
1323,Mertcan dan Hürriyet Mah Ara Katta 3+1 İskanlı Sıfır Satılık,homeDaire,weekend3+1,layers6. Kat,texture120 m2,event19 Ağustos,4.870.000 TL,İstanbul - Kartal - Hürriyet Mh.
1324,BEYLİKDÜZÜ ARENA'DAN METROBÜSE 10 DK YÜRÜME MESAFESİNDE ARAKAT!!,homeDaire,weekend2+1,layers5. Kat,texture120 m2,event19 Ağustos,1.715.000 TL,İstanbul - Beylikdüzü - Cumhuriyet Mh.
1325,BEYLİKDÜZÜ ARENA YAPI'DAN SİTE İÇİ ULTRA LÜX 4+1 SATILIK DAİRE!!,homeDaire,weekend4+1,layers7. Kat,texture220 m2,event19 Ağustos,6.150.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
1326,SİLİVRİ GÜMÜŞYAKADAN KELEPİR MÜSTAKİL VİLLA,homeVilla,weekend2+1,N/A,texture130 m2,event19 Ağustos,2.999.999 TL,İstanbul - Silivri - Gümüşyaka Mh.
1327,BEYLİKDÜZÜ ARENA YAPI'DAN METROBÜSE 5 DK SATILIK LÜX DAİRE,homeDaire,weekend2+1,layers1. Kat,texture120 m2,event19 Ağustos,2.400.000 TL,İstanbul - Beylikdüzü - Cumhuriyet Mh.
1328,METROBÜSÜN DİBİNDE 2+1 LÜX ARAKAT!!!!,homeDaire,weekend2+1,layers1. Kat,texture120 m2,event19 Ağustos,2.400.000 TL,İstanbul - Esenyurt - Mehmet Akif Ersoy Mh.
1329,ARMAX'TAN MERKEZ MAH SATILIK 2+1 ARA KAT DAİRE,homeDaire,weekend2+1,layers1. Kat,texture90 m2,event19 Ağustos,2.500.000 TL,İstanbul - Gaziosmanpaşa - Merkez Mh.
