,Title,Category,Room Count,Floor,Area,Updated At,Price,Location
0,BU DÖNEMI IYI DEĞERLENDIRMEK GEREK DAIRE KALMADI,homeDaire,weekend2+1,layersYüksek giriş,texture95 m2,event21 Ağustos,1.390.000 TL,İstanbul - Esenyurt - Selahaddin Eyyubi Mh.
1,YILDIRIM MAHALLESİNDE YERDEN ISITMALI ULTRA LÜKS 2+1 BAHÇE KAT DA,homeDaire,weekend2+1,layersBahçe katı,texture90 m2,event21 Ağustos,3.650.000 TL,İstanbul - Bayrampaşa - Yıldırım Mh.
2,YILDIRIM MAHALLESİNDE 2+1 90m2 YERDEN ISITMALI YÜKSEK GİRİŞ DAİRE,homeDaire,weekend2+1,layersYüksek giriş,texture90 m2,event21 Ağustos,5.650.000 TL,İstanbul - Bayrampaşa - Yıldırım Mh.
3,Satılık Yatırımlık Dublex,homeDaire,weekend2+1,layers4. Kat,texture120 m2,event20 Ağustos,3.000.000 TL,İstanbul - Çatalca - Ferhatpaşa Mh.
4,SANCAKTEPE EYÜPSULTAN MAH. ÇOK KULLANIŞLI 115 M2 3+1 ARAKAT,homeDaire,weekend3+1,layers1. Kat,texture115 m2,event20 Ağustos,3.840.000 TL,İstanbul - Sancaktepe - Eyüp Sultan Mh.
5,DUMANKAYA ALTIN KOZA SİTESİNDE 2+1 DAİRE ( VİDEO YÜKLÜ),homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture115 m2,event20 Ağustos,5.250.000 TL,İstanbul - Çekmeköy - Merkez Mh.
6,FATİH KARAGÜMRÜK MAH VATAN CAD ÜSTÜ KAT 4 KELEPİR 2.1 DAİRE,homeDaire,weekend2+1,layers4. Kat,texture85 m2,event19 Ağustos,2.800.000 TL,İstanbul - Fatih - Karagümrük Mh.
7,Ataşehir İçerenköy Mahallesinde Metroya Yakın Eşyalı Yatırımlık D,homeDaire,weekend2+1,layersBahçe katı,texture95 m2,event19 Ağustos,3.550.000 TL,İstanbul - Ataşehir - İçerenköy Mh.
8,FARK EMLAK'tan Fevzipaşa Arkası Köşe Binada Satılık Daire,homeDaire,weekend3+1,layers4. Kat,texture100 m2,event18 Ağustos,4.200.000 TL,İstanbul - Fatih - Atikali Mh.
9,KELEPİRRRR !! GÜZEL KONUMDA  1+1 YATIRIMLIK  DÜZ GİRİŞ DAİRE,homeDaire,weekend1+1,layersDüz Giriş (Zemin),texture65 m2,event18 Ağustos,925.000 TL,İstanbul - Bahçelievler - Zafer Mh.
10,BÜYÜKÇEKMEÇ PINARTEPE MH AMERKAN MUTFAK 2+1 AYDNLK DAİRE,homeDaire,weekend2+1,layersYüksek giriş,texture110 m2,event20 Ağustos,2.430.000 TL,İstanbul - Büyükçekmece - Pınartepe Mh.
11,2+1 BİTMİŞ DAİRE ÖDÜL İSTANBUL ÇOOOK UYGUN SAKIN KAÇIRMA,homeDaire,weekend2+1,layers30. Kat,texture100 m2,event17 Ağustos,2.475.000 TL,İstanbul - Esenyurt - Gökevler Mh.
12,CEVATPAŞA MAHALLESİ 2+1 72m2 YERDEN ISITMALI BAHÇE KATI DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture77 m2,event19 Ağustos,2.500.000 TL,İstanbul - Bayrampaşa - Cevatpaşa Mh.
13,TÜRKMEN EMLAKTAN SATILIK 2+1 BAĞIMSIZ GİRİŞLİ BAHÇE KAT,homeDaire,weekend2+1,layersBahçe katı,texture85 m2,event19 Ağustos,1.625.000 TL,İstanbul - Sultangazi - Gazi Mh.
14,TÜRKMEN EMLAK'TA GENİŞ TERASLI ASANSÖRLÜ 2+1 SATILIK DAİRE,homeDaire,weekend2+1,layers4. Kat,texture140 m2,event19 Ağustos,4.080.000 TL,İstanbul - Sultangazi - Gazi Mh.
15,FATİH BEYAZIT MEYDANA 400mt GEDİKPAŞA DA 1 HAFTALIK FİYAT!!,homeBina,weekend1 Oda,N/A,texture520 m2,event19 Ağustos,22.000.000 TL,İstanbul - Fatih - Mimar Hayrettin Mh.
16,Yeni binada satılık 125m2 dublex daire,homeDaire,weekend2+2,layers5. Kat,texture130 m2,event16 Ağustos,7.000.000 TL,İstanbul - Bahçelievler - Zafer Mh.
17,ÜÇ KARDEŞLER'DEN ESENTEPE MH'DE SATILIK 2+1 10M2 MASRAFSIZ SÜPER,homeDaire,weekend2+1,layersÇatı katı,texture100 m2,event19 Ağustos,2.400.000 TL,İstanbul - Sultangazi - Esentepe Mh.
18,BAŞKENT YAPI'DAN METROBÜSE 8 DK MESAFEDE 2+1 ÖN CEPHE ARA KAT,homeDaire,weekend2+1,layers4. Kat,texture110 m2,event20 Ağustos,2.550.000 TL,İstanbul - Esenyurt - Güzelyurt Mh.
19,CİTY EMLAK’TAN TURGUTREİS MAH (35 M2) HİSSELİ FIRSAT DAİRE,homeDaire,weekend2+1,layers1. Kat,texture135 m2,event15 Ağustos,2.150.000 TL,İstanbul - Esenler - Turgut Reis Mh.
20,ESENYURT'TA ERBAKAN PARKIN ALTINDA BOŞ KOMİSYONSUZ 2+1 YÜKSEK Gİ,homeDaire,weekend2+1,layersYüksek giriş,texture90 m2,event17 Ağustos,1.769.000 TL,İstanbul - Esenyurt - Atatürk Mh.
21,ZEN YAPI'DAN SİTE İÇERİSİNDE FULL DONANIMLI 1+1 LÜX DAİRE,homeDaire,weekend1+1,layers6. Kat,texture85 m2,event20 Ağustos,1.349.999 TL,İstanbul - Esenyurt - Güzelyurt Mh.
22,UMUR GAYRİMENKULDEN SATILIK SRA KAT DAİRE,homeDaire,weekend2+1,layers3. Kat,texture90 m2,event15 Ağustos,2.150.000 TL,İstanbul - Bayrampaşa - Cevatpaşa Mh.
23,UMUR GAYRİMENKULDEN SATILIK BAHÇE KATI DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture90 m2,event15 Ağustos,2.450.000 TL,İstanbul - Bayrampaşa - Cevatpaşa Mh.
24,ÖDÜL İSTANBULDA GÜNEY CEPHE 1+1 SATILIK DAİRE HEMEN TAPU,homeDaire,weekend1+1,layers14. Kat,texture64 m2,event15 Ağustos,1.650.000 TL,İstanbul - Esenyurt - Gökevler Mh.
25,BAHÇELİEVLER SATILIK SIFIR 2+1 ARA KAT DAİRE,homeDaire,weekend2+1,layers2. Kat,texture95 m2,event15 Ağustos,4.200.000 TL,İstanbul - Bahçelievler - Kocasinan Merkez Mh.
26,PENDİK 3+1 SİTE DAİRESİ,homeDaire,weekend3+1,layers7. Kat,texture190 m2,event20 Ağustos,14.000.000 TL,İstanbul - Pendik - Harmandere Mh.
27,"ANKA EMLAK""DAN 2+1 DEVLET HASTANESİ YAKINI 70 M2 FIRSAT DAİRESİ",homeDaire,weekend2+1,layers2. Kat,texture84 m2,event13 Ağustos,1.570.000 TL,İstanbul - Bahçelievler - Hürriyet Mh.
28,"ANKA EMLAK""DAN MASRAFSIZ SÜPER DAİRE 1+1 YÜKSEK GİRİŞ",homeDaire,weekend1+1,layersYüksek giriş,texture65 m2,event15 Ağustos,1.270.000 TL,İstanbul - Bahçelievler - Zafer Mh.
29,"ANKA EMLAK""DAN METRO-METROBÜS YAKINI SÜPER DAİRE 2+1 MASRAFSIZ",homeDaire,weekend2+1,layers4. Kat,texture85 m2,event15 Ağustos,1.720.000 TL,İstanbul - Bahçelievler - Zafer Mh.
30,"ANKA EMLAK""DAN 2+1 SIFIR DÜZ GİRİŞ KAPALI OTOPARKLI",homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture80 m2,event13 Ağustos,3.400.000 TL,İstanbul - Bahçelievler - Çobançeşme Mh.
31,"ANKA EMLAK""DAN 2+1 GİRİŞ KATI 4 YAŞINDA SÜPER LÜX DAİRE",homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture80 m2,event15 Ağustos,2.400.000 TL,İstanbul - Bahçelievler - Çobançeşme Mh.
32,"ANKA EMLAK""DAN KAÇAK YOK ARA KAT 80M2 METRO-METROBÜS YAKINI",homeDaire,weekend2+1,layers2. Kat,texture82 m2,event13 Ağustos,1.370.000 TL,İstanbul - Bahçelievler - Çobançeşme Mh.
33,"ANKA EMLAK""DAN* 2+1 80 M2 SÜPER LOKASYONDA DAİRE GÜNEY CEPHE",homeDaire,weekend2+1,layers2. Kat,texture85 m2,event13 Ağustos,1.780.000 TL,İstanbul - Bahçelievler - Çobançeşme Mh.
34,ÇEKMEKÖY ÖMERLİ'DE SATILIK MÜZTAKİL HAVUZLU VİLLA TAKAS OLUR,homeVilla,weekend5+1,N/A,texture200 m2,event15 Ağustos,26.000.000 TL,İstanbul - Çekmeköy - Ömerli Mh.
35,AKSARAY AÇIKÖĞRETİM BÜROSU KARŞINDA SÜPER LÜX 2+1 ARA KAT DAİRE,homeDaire,weekend2+1,layers2. Kat,texture70 m2,event12 Ağustos,3.100.000 TL,İstanbul - Fatih - Aksaray Mh.
36,FINDIKZADE MERKEZİNDE İKİ CEPHELİ ARA KAT 2+1 SATILIK DAİRE,homeDaire,weekend2+1,layers2. Kat,texture100 m2,event11 Ağustos,3.200.000 TL,İstanbul - Fatih - Haseki Sultan Mh.
37,MEHMET AKİF ERSOY MAHALLESİNDE GENİŞ KULLANIŞLI 2+1 DAİRE!,homeDaire,weekend2+1,layers5. Kat,texture120 m2,event17 Ağustos,2.200.000 TL,İstanbul - Esenyurt - Mehmet Akif Ersoy Mh.
38,KADIKÖY ERENKÖY 130m² NET3+1  FERAH DAİRE ARAYANLARA FIRSAT,homeDaire,weekend3+1,layers9. Kat,texture155 m2,event9 Ağustos,21.450.000 TL,İstanbul - Kadıköy - Erenköy Mh.
39,KADİKÖY  KUYUBAŞI'NDA YENİ BİNADA SATILIK 3+1BOŞ FIRSAT DAİRE,homeDaire,weekend3+1,layers2. Kat,texture120 m2,event9 Ağustos,6.500.000 TL,İstanbul - Kadıköy - Eğitim Mh.
40,KADIKÖY FENERBAHÇE 'DE  KALAMIŞ MARİNA MANZARALI 115 M2 NET 3+1 D,homeDaire,weekend3+1,layers9. Kat,texture145 m2,event9 Ağustos,36.000.000 TL,İstanbul - Kadıköy - Fenerbahçe Mh.
41,KADIKÖY FENERBAHÇE'DE HER ODADA DENİZ SİZİNLE  3+1,homeDaire,weekend3+1,layers7. Kat,texture150 m2,event9 Ağustos,29.750.000 TL,İstanbul - Kadıköy - Fenerbahçe Mh.
42,ESENYURT N.F.K.MAH.OLCAYLAR YILDIZPARK SİTESİ 3+1 2.920.000 TL,homeDaire,weekend3+1,layersKot 2 (-2). Kat,texture140 m2,event17 Ağustos,2.920.000 TL,İstanbul - Esenyurt - Necip Fazıl Kısakürek Mh.
43,KYC'DEN FIRSAT - MÜKEMMEL FİYAT MÜKEMMEL DAİRE SİTE İÇİ 2+1,homeDaire,weekend2+1,layers5. Kat,texture120 m2,event7 Ağustos,4.650.000 TL,İstanbul - Kartal - Hürriyet Mh.
44,ÇEKMEKÖYDE METROYA YAKIN 2+1 GİRİŞ KAT DAİRE,homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture75 m2,event20 Ağustos,2.275.000 TL,İstanbul - Çekmeköy - Mehmet Akif Mh.
45,2+1 FIRSAT DAİRE,homeDaire,weekend2+1,layers2. Kat,texture75 m2,event5 Ağustos,1.275.000 TL,İstanbul - Eyüpsultan - Sakarya Mh.
46,ÜMRANİYE ÇAKMAK ÇAMLIKTA HATBOYU CD ARAKAT İSKANLI SATILIK DAİRE,homeDaire,weekend2+1,layers2. Kat,texture80 m2,event19 Ağustos,3.750.000 TL,İstanbul - Ümraniye - Çamlık Mh.
47,AĞAOĞLU MYTOWN ISPARTAKULE 4+1 SATILIK YÜKSEK GİRİŞ,homeDaire,weekend4+1,layersYüksek giriş,texture167 m2,event20 Ağustos,8.500.000 TL,İstanbul - Avcılar - Tahtakale Mh.
48,Başokur'dan Bahçelievler Soğanlı Kocatepe Sokak Full Yapılı 2+1,homeDaire,weekend2+1,layers5. Kat,texture95 m2,event3 Ağustos,2.100.000 TL,İstanbul - Bahçelievler - Soğanlı Mh.
49,Sarıyer Merkezde Satılık 5 Katlı Bina..,homeBina,weekend2+1,N/A,texture150 m2,event2 Ağustos,40.000.000 TL,İstanbul - Sarıyer - Sarıyer Merkez Mh.
50,"Başokur'dan Bahçelievler,DE Genç Binada 2+1 Aarakat Daire",homeDaire,weekend2+1,layers3. Kat,texture88 m2,event14 Ağustos,3.250.000 TL,İstanbul - Bahçelievler - Şirinevler Mh.
51,UMUT EMLAKTAN SADABAD EVLERİNDE MANZARALI DAİRE,homeDaire,weekend3+1,layers12. Kat,texture150 m2,event24 Temmuz,7.200.000 TL,İstanbul - Kağıthane - Nurtepe Mh.
52,FEVZİ ÇAKMAK MAH* 2+1 YENİ BİNA METRO-METROBÜS YAKINI BALKONLU,homeDaire,weekend2+1,layersBahçe katı,texture80 m2,event8 Ağustos,2.300.000 TL,İstanbul - Bahçelievler - Fevzi Çakmak Mh.
53,Dalkıran'dan Kağıthane Çağlayan 2+1 75 M2 Bakımlı Arakat Daire,homeDaire,weekend2+1,layers2. Kat,texture85 m2,event19 Ağustos,2.550.000 TL,İstanbul - Kağıthane - Çağlayan Mh.
54,DERVİŞALİ MAHALLESİNDE 2+1 SATILIK 2. KAT DAİRE,homeDaire,weekend2+1,layers2. Kat,texture80 m2,event9 Ağustos,2.050.000 TL,İstanbul - Fatih - Derviş Ali Mh.
55,SAĞLAM'DAN ATAŞEHİRDE GENİŞ TERASLI ÖZEL DEKORLU 3+1,homeDaire,weekend3+1,layers1. Kat,texture125 m2,event20 Ağustos,5.000.000 TL,İstanbul - Ataşehir - İçerenköy Mh.
56,ÜÇYILDIZ GAYRİMENKUL'den MURATÇEŞMEDE SATILIK 2+1 BAHÇEKAT DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture89 m2,event15 Ağustos,2.630.000 TL,İstanbul - Büyükçekmece - Murat Çeşme Mh.
57,"İGR EMLAK,TAN ÜSKÜDAR MERKEZE YAKIN 2+1 BAHÇE KATI  SATILIK DAİRE",homeDaire,weekend2+1,layersBahçe katı,texture110 m2,event18 Ağustos,2.300.000 TL,İstanbul - Üsküdar - Valide-i Atik Mh.
58,ARES'DEN GENİŞ M2 UYGUN FİYATLI SATILIK 2+1 DAİRE!,homeDaire,weekend2+1,layers2. Kat,texture110 m2,event19 Ağustos,1.075.000 TL,İstanbul - Esenyurt - Fatih Mh.
59,UMUT EMLAKTAN SADABAD EVLERİNDE SATILIK LÜKS DAİRE,homeDaire,weekend3+1,layers6. Kat,texture150 m2,event21 Temmuz,6.350.000 TL,İstanbul - Kağıthane - Nurtepe Mh.
60,KYC'DEN PENDİK BATI MAH. SATILIK 2+1 FIRSAT DAİRE,homeDaire,weekend2+1,layers3. Kat,texture85 m2,event17 Ağustos,4.700.000 TL,İstanbul - Pendik - Batı Mh.
61,ARES'DEN MERKEZİ KONUMDA 2+1 SATILIK DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture105 m2,event19 Ağustos,1.375.000 TL,İstanbul - Esenyurt - Mehterçeşme Mh.
62,ARES'DEN SATILIK YÜKSEK GİRİŞ DAİRE,homeDaire,weekend1+1,layersYüksek giriş,texture85 m2,event19 Ağustos,1.100.000 TL,İstanbul - Esenyurt - Balıkyolu Mh.
63,"ÜSKÜDAR'DA YENİ BİNADA, 3+1, BAHÇE KATI SATILIK DAİRE !!!!!",homeDaire,weekend3+1,layersBahçe katı,texture110 m2,event20 Ağustos,4.950.000 TL,İstanbul - Üsküdar - Aziz Mahmut Hüdayi Mh.
64,"BABACAN PORT ROYAL STÜDYO DAİRE, BOŞ, KAT MÜLKİYETLİ",homeDaire,weekendStüdyo,layers5. Kat,texture28 m2,event1 Temmuz,2.600.000 TL,İstanbul - Küçükçekmece - Kartaltepe Mh.
65,ARES den GENİŞ M2 MERKEZİ KONUM 2+1 UYGUN FİYATLI DAİRE !,homeDaire,weekend2+1,layers2. Kat,texture110 m2,event19 Ağustos,1.100.000 TL,İstanbul - Esenyurt - Fatih Mh.
66,ÇEKMEKÖY MERKEZ MAHALLESİNDE ÖZEL YAPIM 120 m2 SATILIK 2+1 DAİRE,homeDaire,weekend2+1,layers2. Kat,texture135 m2,event14 Ağustos,3.875.000 TL,İstanbul - Çekmeköy - Merkez Mh.
67,ARES den UYGUN FİYATLI 2+1 ARA KAT DAİRE !,homeDaire,weekend2+1,layers3. Kat,texture110 m2,event19 Ağustos,1.075.000 TL,İstanbul - Esenyurt - Fatih Mh.
68,pendik fevzi çakmak mahallesinde satılık 3+1 daire,homeDaire,weekend3+1,layers6. Kat,texture125 m2,event20 Ağustos,2.450.000 TL,İstanbul - Pendik - Fevzi Çakmak Mh.
69,AVCILAR ALLURE TOWER RESİDENCE DA HARİKA GÖL VE DENİZ MANZARALI Y,homeResidence,weekend2+1,layersKot 1 (-1). Kat,texture96 m2,event26 Haziran,5.700.000 TL,İstanbul - Avcılar - Üniversite Mh.
70,ARES den MERKEZİ KONUM da UYGUN FİYATLI 2+1 GİRİŞ DAİRE !,homeDaire,weekend2+1,layersDüz Giriş (Zemin),texture100 m2,event19 Ağustos,950.000 TL,İstanbul - Esenyurt - Üçevler Mh.
71,ARES den MERKEZİ KONUM da LUX DİZAYN 1+1 ARA KAT DAİRE !,homeDaire,weekend1+1,layers1. Kat,texture85 m2,event19 Ağustos,1.450.000 TL,İstanbul - Esenyurt - Üçevler Mh.
72,YEDİKULE HACI MANAV SOKAĞINDA YÜKSEK GİRİŞ 1 + 1 SATILIK DAİRE,homeDaire,weekend1+1,layersYüksek giriş,texture60 m2,event26 Haziran,1.550.000 TL,İstanbul - Fatih - Yedikule Mh.
73,SATILKI 3+1 130 M2 YENİ BİNADA DAİRE (SANAL TUR VİDEO YÜKLÜ),homeDaire,weekend3+1,layers1. Kat,texture140 m2,event18 Ağustos,6.500.000 TL,İstanbul - Çekmeköy - Merkez Mh.
74,"ERKUTUN'DAN, BALMUMCU, GAYRETTEPE ARASI BARBAROS BULVARI ARKASI,",homeDaire,weekend2+1,layers6. Kat,texture110 m2,event16 Ağustos,6.500.000 TL,İstanbul - Beşiktaş - Gayrettepe Mh.
75,TURYAP&ZİRKON PENDİK BAHÇELİEVLER MH.HAYAL SK. ASANSÖRLÜ,homeDaire,weekend3+1,layers5. Kat,texture115 m2,event9 Ağustos,2.850.000 TL,İstanbul - Pendik - Bahçelievler Mh.
76,PB TÜRKİYE GAYRİMENKULDEN 4.LEVENT METROYA YAKIN SATILIK BOŞ 1+1,homeResidence,weekend1+1,layers2. Kat,texture85 m2,event9 Ağustos,4.750.000 TL,İstanbul - Kağıthane - Çeliktepe Mh.
77,METRO METROBÜSE YAKIN 12 YILLIK 2 BLOKLU SİTEDE 3.KAT 3+1 120M2,homeDaire,weekend3+1,layers3. Kat,texture120 m2,event13 Temmuz,9.250.000 TL,İstanbul - Bakırköy - Kartaltepe Mh.
78,AVEB LİV MARMARA 11.000 TL KİRACILI DENİZ CEPHE 2.100.000 TL!,homeDaire,weekend1+1,layers5. Kat,texture65 m2,event23 Mayıs,2.100.000 TL,İstanbul - Beylikdüzü - Yakuplu Mh.
79,GoldHouse dan Satılık Yeşilköy de 3+1 Fırsat Ara Kat Daire,homeDaire,weekend3+1,layers1. Kat,texture120 m2,event20 Ağustos,8.000.000 TL,İstanbul - Bakırköy - Yeşilköy Mh.
80,BAYRAMPAŞA MURATPAŞA MAH SATILIK ARAKAT DAİRE,homeDaire,weekend2+1,layers1. Kat,texture100 m2,event18 Ağustos,3.200.000 TL,İstanbul - Bayrampaşa - Muratpaşa Mh.
81,ÜÇYILDIZ GAYRİMENKULDEN TEK DAİRE FİYATINA 2 DAİRE 4+2 DUBLEKS,homeDaire,weekend4+2,layers3. Kat,texture280 m2,event15 Ağustos,5.600.000 TL,İstanbul - Büyükçekmece - Murat Çeşme Mh.
82,NUROL PARK SATILIK 3+1 PANORAMİK MANZARA VE HAVUZ CEPHE,homeDaire,weekend3+1,layers19. Kat,texture158 m2,event18 Ağustos,8.200.000 TL,İstanbul - Bağcılar - 15 Temmuz Mh.
83,CADDE ÜZERİ.. TEMİZ VE BAKIMLI.. ARAKAT 3+1 FERAH DAİRE,homeDaire,weekend3+1,layers3. Kat,texture152 m2,event20 Temmuz,3.500.000 TL,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
84,BÜYÜKÇEKMECE CELALİYE SATILIK SIFIR FULL MANZARALI DUBLEKS,homeDaire,weekend3+2,layers4. Kat,texture165 m2,event20 Ağustos,3.000.000 TL,İstanbul - Büyükçekmece - Celaliye Mh.
85,ÜÇYILDIZ GAYRİMENKUL'den MİMAROBA'da SATILIK 3+1 DAIRE...,homeDaire,weekend3+1,layers4. Kat,texture145 m2,event15 Ağustos,4.300.000 TL,İstanbul - Büyükçekmece - Ekinoba Mh.
86,3+1 balkonlu ferah daire,homeDaire,weekend3+1,layers2. Kat,texture130 m2,event16 Ağustos,3.650.000 TL,İstanbul - Küçükçekmece - İnönü Mh.
87,güven emlaktan Pendik fevzi çakmakta satılık 2+1 daire,homeDaire,weekend2+1,layers2. Kat,texture95 m2,event20 Ağustos,1.600.000 TL,İstanbul - Pendik - Fevzi Çakmak Mh.
88,Bahçeşehir'de Hayal Gibi Bir Yaşam: Şelale Villa ile Tanışın 5+2,homeVilla,weekend5+2,N/A,texture350 m2,event2 Temmuz,26.500.000 TL,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
89,PENDİK ÇAMÇEŞME AYDINLI CADDESİNE 2.BİNA HARİKA 2+1 SATILIK,homeDaire,weekend2+1,layers2. Kat,texture100 m2,event29 Temmuz,3.960.000 TL,İstanbul - Pendik - Çamçeşme Mh.
90,SATILIK 4 ODA 2 SALON DUBLEKS DAİRE (VİDEOLU İLAN),homeDaire,weekend4+2,layers4. Kat,texture200 m2,event18 Temmuz,6.125.000 TL,İstanbul - Çekmeköy - Merkez Mh.
91,bahçekent emlak konut 656 ada 120m2 çift banyolu 2+1 fırsattır,homeDaire,weekend2+1,layers24. Kat,texture120 m2,event15 Ağustos,3.850.000 TL,İstanbul - Başakşehir - Bahçeşehir 2. Kısım Mh.
92,SATILIK 2+2 MUHTEŞEM DUBLEKS DAİRE ( VİDEOLU İLAN ),homeDaire,weekend2+2,layers4. Kat,texture165 m2,event18 Temmuz,5.500.000 TL,İstanbul - Çekmeköy - Merkez Mh.
93,PAMİR YAPI'DAN BARIŞ MAHALLESİNDE 3+1 LÜX DAİRE,homeDaire,weekend3+1,layers6. Kat,texture175 m2,event2 Ağustos,3.500.000 TL,İstanbul - Beylikdüzü - Barış Mh.
94,istanbul Bahçelievler kocasinan mah de satılık 185m² 4+1-dubleks,homeDaire,weekend4+1,layersÇatı Dubleks,texture185 m2,event20 Ağustos,6.500.000 TL,İstanbul - Bahçelievler - Kocasinan Merkez Mh.
95,BEYLİKDÜZÜ ESENYURT MEHTERÇEŞMEDE 1+1 - 2+1 - 3+1 DAİRELER,homeDaire,weekend3+1,layers1. Kat,texture120 m2,event2 Ağustos,2.850.000 TL,İstanbul - Esenyurt - Güzelyurt Mh.
96,PAMİR YAPI'DAN ADNAN KAHVECİ MALLESİNDE ULTRA LUX 3+1 DAİRE !!,homeDaire,weekend3+1,layers9. Kat,texture160 m2,event2 Ağustos,6.599.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
97,PAMİR YAPIDAN BEYLİKDÜZÜ BARIŞ MAHALLESİN'DE ÖZEL DİZAYN 3+1,homeDaire,weekend3+1,layers7. Kat,texture170 m2,event2 Ağustos,4.459.000 TL,İstanbul - Beylikdüzü - Barış Mh.
98,PAMİR YAPI'DAN ESENYURT  SULTANİYE MAH SATILIK DAİRE,homeDaire,weekend3+1,layers3. Kat,texture200 m2,event2 Ağustos,2.929.000 TL,İstanbul - Esenyurt - Sultaniye Mh.
99,PAMİR YAPI'DAN CADDE ÜZERİ ACİL SATILIK 2+1 LÜX DAİRE!!!,homeDaire,weekend2+1,layers2. Kat,texture110 m2,event2 Ağustos,1.990.000 TL,İstanbul - Esenyurt - İncirtepe Mh.
100,PAMİR YAPI'DAN KAVAKLI MERKEZ'DE EMSALLERİ'NİN ALTINDA LUX 4+2 D,homeDaire,weekend4+2,layers4. Kat,texture180 m2,event2 Ağustos,5.599.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
101,PAMİR YAPI'DAN BEYLİKDÜZÜNDE ACİL SATILIK MERKEZİ KONUMDA OTURUMA,homeDaire,weekend2+1,layers3. Kat,texture120 m2,event2 Ağustos,1.899.000 TL,İstanbul - Beylikdüzü - Yakuplu Mh.
102,Pendik esenler mahallesinde 2+1 satılık daire,homeDaire,weekend2+1,layers1. Kat,texture120 m2,event20 Ağustos,2.480.000 TL,İstanbul - Pendik - Fevzi Çakmak Mh.
103,PAMİR YAPI'DAN BUTİK SİTE İÇİNDE ÖZEL İŞÇİLİKLİ 2+1 LÜX DAİRE!!,homeDaire,weekend2+1,layers2. Kat,texture110 m2,event2 Ağustos,4.100.000 TL,İstanbul - Beylikdüzü - Kavaklı Mh.
104,"PAMİR YAPI'DAN  BEYLİKDÜZÜ ADNAN KAHVECİDE 1,20 KREDİYE UYGUN SI",homeDaire,weekend2+1,layers3. Kat,texture120 m2,event2 Ağustos,3.399.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
105,PAMİR YAPI'DAN MARİNAYA KOMŞU SİTE İÇİNDE ULTRA GENİŞ 2+1 DAİRE!,homeDaire,weekend2+1,layers3. Kat,texture140 m2,event2 Ağustos,4.645.000 TL,İstanbul - Beylikdüzü - Marmara Mh.
106,PAMİR YAPI'DAN SİTE İÇİNDE GENİŞ METREKARE 3+1 LÜX DAİRE!!!,homeDaire,weekend3+1,layers12. Kat,texture155 m2,event2 Ağustos,4.759.000 TL,İstanbul - Beylikdüzü - Adnan Kahveci Mh.
107,PAMİR YAPI'DAN BÖLGENİN EN KLEPİR ARAKAT FIRSAT DAİRESİ SAHİBİNİ,homeDaire,weekend2+1,layers2. Kat,texture115 m2,event2 Ağustos,2.299.000 TL,İstanbul - Esenyurt - Balıkyolu Mh.
108,PAMİR YAPI'DAN VİLLA TADINDA DENİZ MANZARALI MÜSTAKİL 3+1 DAİREL,homeDaire,weekend3+1,layers2. Kat,texture150 m2,event2 Ağustos,4.990.000 TL,İstanbul - Büyükçekmece - Pınartepe Mh.
109,BÜYÜKÇEKMECE PINARTEPE MAH. SİTE İÇİ 2+1 103 M2 SATILIK DAİRE,homeDaire,weekend2+1,layers6. Kat,texture103 m2,event6 Ağustos,3.400.000 TL,İstanbul - Büyükçekmece - Pınartepe Mh.
110,GÖZTEPE MERDİVENKÖY'DE 4+2 ÇATI KATI SATILIK DUBLEKS,homeDaire,weekend4+2,layersÇatı Dubleks,texture210 m2,event20 Ağustos,12.500.000 TL,İstanbul - Kadıköy - Merdivenköy Mh.
111,iGR EMLAK SATILIK DAİRE,homeDaire,weekend2+1,layersBahçe katı,texture95 m2,event14 Ağustos,2.350.000 TL,İstanbul - Üsküdar - Valide-i Atik Mh.
112,Anacadde yatırımlık 2 ayrı daire balkon kombılı esyalı daire,homeDaire,weekend4+1,layers3. Kat,texture140 m2,event24 Haziran,4.000.000 TL,İstanbul - Beyoğlu - Camiikebir Mh.
113,merkez mahallesi 3+1 içi yenilenmiş satılık daire,homeDaire,weekend3+1,layers4. Kat,texture110 m2,event23 Temmuz,1.950.000 TL,İstanbul - Avcılar - Merkez Mh.
114,ZORLU CENTER YANI ÇİFTÇİ TOWER DA MANZARALI SATILIK D TİPİ 349m2,homeResidence,weekend4.5+1,layers30. Kat,texture349 m2,event14 Ağustos,135.000.000 TL,İstanbul - Beşiktaş - Levazım Mh.
